,pM,pML_1,pML_2,pML_3,pML_4,pUL_1,pUL_2,pUL_3,pUL_4,llh
0,0.22154572254390245,0.01665516746770895,0.7700160316439321,0.2190003257453478,0.7930467910631666,0.3568836360670546,0.32027910071879323,0.5140846580146737,0.5946118717844286,-288.45024228033066
1,0.5565870078941813,0.1295509480434032,0.5484596218376533,0.4545319998172894,0.43747679997413375,0.4132119201145099,0.3972244391432043,0.5632383049858865,0.5552401068598111,-282.83758022066013
2,0.3598546782753048,0.020222075474765348,0.48952185897539346,0.3901047566479792,0.9526299737150261,0.4073951736148483,0.4221862087791841,0.5163960917622558,0.6336693652776111,-283.7143263790106
3,0.36862011058325866,0.10706324999409894,0.4926726227543251,0.7573868335522893,0.7629795312831261,0.47483053798797936,0.3623097130603123,0.5613586905693108,0.5145519951708228,-286.3035750843386
4,0.6813022276384346,0.2679589553679937,0.313250095342085,0.33015071892908227,0.7973333083609729,0.4296895503534625,0.35867656873872145,0.47298326933226126,0.5350379590907193,-282.61824597458394
5,0.4950659341228283,0.2020317668791234,0.028813040265578422,0.44894719781996617,0.6952922006809763,0.4394414535930589,0.4468974579909873,0.5376313946020319,0.5625009951763651,-282.3077324998005
6,0.29404008660676206,0.2431269721660934,0.10050624781673177,0.8706467341172779,0.19280107864001048,0.27771354101483026,0.41847320554028455,0.5215107358609943,0.5059991644838052,-287.229691520345
7,0.555758386619403,0.34477711273535067,0.23008587795742952,0.7017315036500561,0.761447856418738,0.3861922271421427,0.39210169379286186,0.5018063485856711,0.4909489067725558,-280.94907431491913
8,0.27538203932107447,0.22397007230391,0.4709840118385954,0.6771936545893004,0.8748634744973363,0.38930827730519546,0.3450110806839133,0.4817517145783362,0.6011582790041969,-279.9420838313063
9,0.22233670446002654,0.1433998168002864,0.6704229146279823,0.7203937696207207,0.7445140432354009,0.34134218252327053,0.33723875606105436,0.47498073999782603,0.4522698762785041,-281.77667245149047
