,pM,pML_1,pML_2,pML_3,pML_4,pUL_1,pUL_2,pUL_3,pUL_4
0,0.5507266838315146,0.12102779357480511,0.11869334070549314,0.23130620051503498,0.21561244746032412,0.12095210826559809,0.06490218120614918,0.12440048536022645,0.09681019722612094
1,0.6994322048463572,0.044042695349687876,0.10470090038770752,0.133812645554504,0.35876765688369777,0.02884427693776067,0.09631592149034729,0.1334026369080665,0.10830952565526925
2,0.9114915926634349,0.1388275125315969,0.15335096250616312,0.18921254454842584,0.11207399744288657,0.0059152707022339475,0.03410636274987588,0.1622502692333082,0.22530640916740716
3,0.9905938778670001,0.111155427799621,0.10911749901018052,0.2323318875208941,0.08579320737540813,0.37488856884040683,0.6894330559107494,0.029293586761170814,0.7682171728286589
4,0.9890487355304147,0.13706195452744807,0.07110079409888925,0.17830418975427528,0.17001737292478797,0.7415892831925208,0.09559302400466563,0.07471548246479127,0.5211594673819262
5,0.9959341990328298,0.10583839802766151,0.09852625465017062,0.19283378393021136,0.12625522100924844,0.17593202980278488,0.24570212459151175,0.2088192189995272,0.21100758152764584
6,0.9490693237629482,0.09842824962599074,0.07907569772066866,0.17786418563984882,0.09721490786918194,0.5996149825462089,0.07634574128278675,0.2706820244277554,0.6295715504057156
7,0.9979171297543554,0.04751759057655316,0.17555276986766147,0.14319531625473164,0.19046949412859504,0.7622462885997974,0.5511325850225404,0.09353704720196757,0.3071510465931807
8,0.9969924606260137,0.0661639223769615,0.10189391462688226,0.15532201683317776,0.17705548643387892,0.7810260777830552,0.4593122395849725,0.4525994137556357,0.42999240993330623
9,0.9791758347163928,0.1452713766426297,0.10295161764851342,0.17608277388254273,0.10186648817649603,0.17678023841258386,0.20043021599672192,0.9431435133858193,0.7514872966225817
10,0.9732121933008958,0.17189665403640264,0.09717432297563523,0.15670235149999043,0.11762726556324729,0.8235846106660815,0.39554412508223863,0.42540298049504494,0.06516489163757878
11,0.996543240937272,0.13860320336934095,0.11222343572808492,0.14069195866548348,0.11059863498176871,0.712486776320881,0.15569961511237435,0.06008162066776958,0.7018785497311162
12,0.997484482089705,0.09883279952373338,0.17693274948026577,0.13136769676353793,0.17174297910669387,0.42686215832186575,0.7273087056268505,0.4775471962427337,0.39462991005341486
13,0.9930679293063076,0.10455997367439265,0.11156605355028164,0.133130969976272,0.10797091931359375,0.2782612726804859,0.00924213772546753,0.7727339407686228,0.7346502357376009
14,0.99956349596028,0.115726774575344,0.08727232611574093,0.20038174000719844,0.12461806116054146,0.4566781370629375,0.9169887487211557,0.6570517720372805,0.3432353928168368
15,0.9967336653578518,0.11040571423377198,0.0950491372301018,0.1673686776794503,0.11670015848516854,0.8086611109943325,0.6116850413954453,0.48628008280631185,0.47973567465617517
16,0.9947559958355234,0.1347496367642864,0.1285106881301508,0.15002698864272543,0.20588780341594104,0.3173538896528935,0.4995897892659207,0.7461692705767566,0.9578694609840744
17,0.9889192250796874,0.1643229435521818,0.13931384396087113,0.16311441214246472,0.12768691969225798,0.13176453784503056,0.1888443337389977,0.8556348776236874,0.4419223639266201
18,0.9982188791302287,0.10195900496990763,0.15112097600003052,0.17248272163392633,0.097718277916627,0.038633944647498676,0.893763460818306,0.5903637939294781,0.8852684752542922
19,0.9984295583115751,0.09520944468365188,0.08389068890602161,0.17031749940872384,0.14282235968011758,0.6586779454527332,0.9445210696943384,0.6992266062505559,0.5351150442758686
20,0.9878701766576105,0.08412828855333228,0.09353138927982486,0.17112263964165922,0.11325457595171294,0.39302984920818945,0.38069926501728557,0.9377144518591595,0.014047034109208476
21,0.9989928699020355,0.11223623833017862,0.13432216404113095,0.18394005526577042,0.14852077673977165,0.730239849242337,0.69525704279898,0.05568659972067158,0.537620222492321
22,0.9982375850303734,0.15045117381907766,0.13476703955747535,0.22805840551494685,0.12321281505219002,0.8701617270376655,0.8323754345963861,0.8294749349379598,0.3042963408554221
23,0.9899637900824875,0.11578731918050489,0.10536671000412857,0.21266219641838247,0.11302713480404153,0.39129338791139384,0.2620638121186351,0.0688104659194461,0.2523555645286636
24,0.9938465487130145,0.11455390586689067,0.06918883153159235,0.21236770514764283,0.12544174168186123,0.9680888997994131,0.04743637962575099,0.05463897291721286,0.741178194449742
25,0.9989883306285092,0.12538767044888233,0.14927322391689712,0.20099787668152178,0.10143654232811211,0.5955123951410122,0.9944159011133875,0.38977106336489625,0.7689300902077395
26,0.9746511496537024,0.066109066870858,0.1506270410292426,0.24360097844954284,0.22067409457137774,0.2726325969187349,0.5684803256534056,0.45602789880426325,0.35671566527222004
27,0.9988189395484378,0.0781895760436517,0.05958859695866743,0.23321049880049863,0.09639485049514644,0.846246600539233,0.7523376780960397,0.29327656151888404,0.7865204142736302
28,0.997364455981687,0.08065694165679389,0.07840208562008164,0.2131183517669627,0.11420449025425261,0.4281752772634046,0.8897187005878201,0.5897933408518798,0.7642212144858482
29,0.9930261369414972,0.10394629046360121,0.09393665088318921,0.2150528724204474,0.17644203301184755,0.8500310324206356,0.9700133959135357,0.6374827223408781,0.4440479779681988
30,0.9995883464753343,0.10147904032696281,0.09204503510411348,0.1342261790290469,0.18499215859215717,0.527794274740106,0.0919565090164161,0.3893908651505178,0.930567709244969
31,0.9985686163234884,0.11605409486099125,0.10355896390977018,0.15077530645437134,0.07796197256427065,0.2896848066481281,0.05534403160505797,0.1866250846752198,0.6593060329513544
32,0.9959580670528748,0.11357690613969361,0.11572499566502126,0.14639585087536996,0.15029120058176793,0.7959526742661346,0.4533331847218527,0.29073606638232347,0.3074569002629329
33,0.9984550089882667,0.19398159752463676,0.11928848057101377,0.1429577132344369,0.17224046256269762,0.7646698633697453,0.060508585452325986,0.8274376883164077,0.02512655138618652
34,0.9921648255002926,0.09503942688959927,0.08364456370201367,0.2565972793245841,0.16570836028931216,0.08411657153246825,0.7531890882982679,0.7825643109743641,0.8826360903708892
35,0.9940928850114922,0.13325822037883206,0.10213137200034017,0.2034069329010378,0.12211823848912849,0.909096981720181,0.8706788613403517,0.520567443539456,0.7763223948687367
36,0.985030114772541,0.10197152575818981,0.1495898852031239,0.23768606046444243,0.11693178057944913,0.4173771845705751,0.47408776218183113,0.15685637853783388,0.5462277829923582
37,0.9810091479538541,0.0881215258217318,0.1438317676647849,0.15808350669227728,0.10134274797532956,0.01638678090379885,0.2597998099849538,0.7680559753502881,0.8349722760090472
38,0.9691973534180965,0.10060220905153183,0.08649759541350716,0.10968953480935106,0.15608557306593038,0.8680143147345867,0.05621175993852571,0.36963233855085603,0.41109425093651675
39,0.9996636241597192,0.06930080146325132,0.11536415100204278,0.1967415066152727,0.19572227556371866,0.7583436386348402,0.8072941771400475,0.6870405318417654,0.573418663610271
40,0.9770344975325331,0.1513284570572248,0.1156264908408978,0.15761258065464392,0.10181302474857086,0.9431203466194698,0.5676051779967972,0.9607108608617022,0.2639361140882183
41,0.9938313888790897,0.15309811191204284,0.12717013590891552,0.19059506780246285,0.1418182900390645,0.512513463733218,0.9944414377440464,0.5478382648750388,0.5230480391387317
42,0.972987864839479,0.12100405772198403,0.09632353217098313,0.14016297975205247,0.11848057148071295,0.2715869652829727,0.6863370763678793,0.7646190928352427,0.017221416097486737
43,0.9777347718350914,0.05413045269762045,0.12315401288768273,0.2405594631752593,0.14232547219282649,0.5717890921773194,0.26448807266104385,0.5298320014689757,0.616567899044065
44,0.9919197559326093,0.08481227726739134,0.06895022975617608,0.17351502613746236,0.15374851872402093,0.7335974165670671,0.22236109095492176,0.1455757026657293,0.20049575655492147
