,pM,pML_1,pML_2,pML_3,pML_4,pUL_1,pUL_2,pUL_3,pUL_4,llh
0,0.45354852929279055,0.1473831961795732,0.15512951060753868,0.024944873870602725,0.06727595408408114,0.11246721728987634,0.16995760321076825,0.20684039931613354,0.22951561566955592,-163.18004083850872
1,0.26416560327016314,0.4454040134930663,0.3303879528396879,0.014020389033091597,0.038091824686305044,0.06717542577223598,0.0561906004113874,0.21092855864954377,0.18326742932633858,-160.77158579657092
2,0.6593136543631952,0.09420935683997302,0.6757015691720624,0.16252144565323334,0.10978046079041553,0.0687606199246601,0.1309616341689948,0.2046080369354732,0.13619011359304906,-162.83601739273954
3,0.3547427204944837,0.2726116108327874,0.5918329463111689,0.09192231540730851,0.43959135628512147,0.10117046920746624,0.10000363423723643,0.1384988287670969,0.13000590763741757,-158.00127982278346
4,0.1877856375663079,0.13478400584333988,0.2614157554605355,0.2249269608367451,0.33273991257388164,0.11592563015664809,0.06764406121573054,0.16517487172909912,0.12861624148597378,-158.57982086248504
5,0.22975923225807413,0.08967139075499726,0.39041333767643405,0.0760914519173965,0.0804336110522306,0.10462222059048595,0.11838580158830643,0.23136681826526956,0.11501056659440848,-157.52694349227042
6,0.3222781952101424,0.20026140876166035,0.1326883298590476,0.2426873389148914,0.023592821252655626,0.09078955684890383,0.15241027106288657,0.17282437854357904,0.13430988260780005,-158.62185543370927
7,0.2827914338746926,0.009557436946098593,0.017287839092882937,0.2590574703126529,0.04527514408994134,0.11927512972919625,0.07145252598180493,0.15945266443885653,0.11785322226086749,-155.71468713552497
8,0.339753663948293,0.23191137331782172,0.29591548807648055,0.177054792601738,0.46697041267239786,0.0877116357781687,0.12763767437731308,0.1567780717732851,0.13834616858874071,-157.7510587511372
9,0.1252817442074092,0.5687895663976845,0.37117050405646246,0.29117074961363404,0.3480298224045359,0.10886247697982519,0.14356239563045395,0.17128203741189807,0.11276695126694622,-155.0585102895233
