,pM,pML_1,pML_2,pML_3,pUL_1,pUL_2,pUL_3,llh
0,0.2719837874723496,0.08656077694856842,0.005289424839647044,0.03611699506128483,0.10332681198278397,0.10534645512722943,0.10734242523733625,-109.43221058601073
1,0.6168074074219728,0.1264270632216017,0.0066262469961787165,0.08801023821625291,0.09146484019689631,0.07476354580961206,0.09839172759085672,-109.47124548126502
2,0.4612097864880952,0.05645246208731723,0.006478591569665274,0.04874974645621505,0.07972790838452566,0.0840032441867357,0.1430903929062369,-107.68822361999196
3,0.4240384775159207,0.7240151605596337,0.14786741936109074,0.11030813735608337,0.12085690771536071,0.06880040994084104,0.12369311191903144,-109.94059223001597
4,0.5537815607673496,0.37011061621246494,0.014605947705682907,0.17179894836249993,0.07569574996877834,0.11984663316445308,0.08688932655622639,-107.46718025849674
5,0.5944027246895838,0.6639203086256081,0.03931440378955696,0.06857907061074715,0.0665211877300451,0.08514920834887044,0.1270533391503202,-106.69597065254095
6,0.3218417056392174,0.7482034586557239,0.20507288861408693,0.5320950600943477,0.048010294809755404,0.10472965890293738,0.1298469068064535,-108.13687042423231
7,0.4159935775570686,0.4006994228637336,0.04655479147199106,0.05211474093608922,0.06383103472739211,0.08354473447987164,0.062312827006830884,-107.10907542542459
8,0.13630551392784865,0.42565589577850316,0.07997537790751545,0.1504923151425036,0.09269245856048183,0.09008854617540639,0.09148435355770669,-103.44756766878385
9,0.3378258700323741,0.3614596057804471,0.25783315997912726,0.5932542679516263,0.13565756192219766,0.056577087342390406,0.13429309117753352,-107.4693727488328
